Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 3.3018
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4316 | lrm: 1.00 | dt: 44630.15ms | tok/sec: 11,747 | mfu: 4.15 | total time: 0.00m
step 00025/21400 (0.12%) | loss: 6.521438 | grad norm: 1.1203 | lrm: 1.00 | dt: 5174.27ms | tok/sec: 101,325 | mfu: 35.77 | total time: 1.29m
step 00026/21400 (0.12%) | loss: 6.486952 | grad norm: 1.1452 | lrm: 1.00 | dt: 5169.49ms | tok/sec: 101,419 | mfu: 35.81 | total time: 1.37m
step 00027/21400 (0.13%) | loss: 6.467467 | grad norm: 1.2393 | lrm: 1.00 | dt: 5629.79ms | tok/sec: 93,127 | mfu: 32.88 | total time: 1.47m
step 00028/21400 (0.13%) | loss: 6.427442 | grad norm: 1.1009 | lrm: 1.00 | dt: 5217.06ms | tok/sec: 100,494 | mfu: 35.48 | total time: 1.56m
step 00029/21400 (0.14%) | loss: 6.392011 | grad norm: 0.8705 | lrm: 1.00 | dt: 5157.70ms | tok/sec: 101,651 | mfu: 35.89 | total time: 1.64m
step 00030/21400 (0.14%) | loss: 6.360021 | grad norm: 1.4469 | lrm: 1.00 | dt: 5159.30ms | tok/sec: 101,619 | mfu: 35.88 | total time: 1.73m
step 00031/21400 (0.14%) | loss: 6.322047 | grad norm: 0.8695 | lrm: 1.00 | dt: 5163.95ms | tok/sec: 101,528 | mfu: 35.85 | total time: 1.81m
step 00032/21400 (0.15%) | loss: 6.297929 | grad norm: 1.1250 | lrm: 1.00 | dt: 5163.57ms | tok/sec: 101,535 | mfu: 35.85 | total time: 1.90m
step 00033/21400 (0.15%) | loss: 6.270193 | grad norm: 0.9728 | lrm: 1.00 | dt: 5157.89ms | tok/sec: 101,647 | mfu: 35.89 | total time: 1.99m
step 00034/21400 (0.16%) | loss: 6.243768 | grad norm: 0.8839 | lrm: 1.00 | dt: 5159.79ms | tok/sec: 101,610 | mfu: 35.87 | total time: 2.07m
step 00035/21400 (0.16%) | loss: 6.216505 | grad norm: 0.7440 | lrm: 1.00 | dt: 5191.07ms | tok/sec: 100,998 | mfu: 35.66 | total time: 2.16m
step 00036/21400 (0.17%) | loss: 6.197027 | grad norm: 1.0390 | lrm: 1.00 | dt: 5188.47ms | tok/sec: 101,048 | mfu: 35.68 | total time: 2.24m
step 00037/21400 (0.17%) | loss: 6.205999 | grad norm: 0.9883 | lrm: 1.00 | dt: 5157.42ms | tok/sec: 101,657 | mfu: 35.89 | total time: 2.33m
step 00038/21400 (0.18%) | loss: 6.189732 | grad norm: 0.7581 | lrm: 1.00 | dt: 5162.85ms | tok/sec: 101,550 | mfu: 35.85 | total time: 2.42m
step 00039/21400 (0.18%) | loss: 6.166747 | grad norm: 0.7889 | lrm: 1.00 | dt: 5177.79ms | tok/sec: 101,257 | mfu: 35.75 | total time: 2.50m
step 00040/21400 (0.19%) | loss: 6.161393 | grad norm: 1.3264 | lrm: 1.00 | dt: 5155.88ms | tok/sec: 101,687 | mfu: 35.90 | total time: 2.59m
step 00041/21400 (0.19%) | loss: 6.143048 | grad norm: 0.6709 | lrm: 1.00 | dt: 5177.77ms | tok/sec: 101,257 | mfu: 35.75 | total time: 2.67m
step 00042/21400 (0.20%) | loss: 6.126622 | grad norm: 0.6636 | lrm: 1.00 | dt: 5163.43ms | tok/sec: 101,538 | mfu: 35.85 | total time: 2.76m
step 00043/21400 (0.20%) | loss: 6.114918 | grad norm: 0.8878 | lrm: 1.00 | dt: 5159.25ms | tok/sec: 101,621 | mfu: 35.88 | total time: 2.85m
step 00044/21400 (0.21%) | loss: 6.082267 | grad norm: 0.6686 | lrm: 1.00 | dt: 5200.67ms | tok/sec: 100,811 | mfu: 35.59 | total time: 2.93m
step 00045/21400 (0.21%) | loss: 6.056056 | grad norm: 0.7069 | lrm: 1.00 | dt: 5158.75ms | tok/sec: 101,630 | mfu: 35.88 | total time: 3.02m
step 00046/21400 (0.21%) | loss: 6.034035 | grad norm: 0.9088 | lrm: 1.00 | dt: 5159.34ms | tok/sec: 101,619 | mfu: 35.88 | total time: 3.11m
step 00047/21400 (0.22%) | loss: 6.020717 | grad norm: 0.7152 | lrm: 1.00 | dt: 5171.51ms | tok/sec: 101,380 | mfu: 35.79 | total time: 3.19m
step 00048/21400 (0.22%) | loss: 6.015506 | grad norm: 0.7967 | lrm: 1.00 | dt: 5170.15ms | tok/sec: 101,406 | mfu: 35.80 | total time: 3.28m
step 00049/21400 (0.23%) | loss: 5.999050 | grad norm: 0.9514 | lrm: 1.00 | dt: 5157.51ms | tok/sec: 101,655 | mfu: 35.89 | total time: 3.36m
step 00050/21400 (0.23%) | loss: 5.978127 | grad norm: 0.8714 | lrm: 1.00 | dt: 5165.24ms | tok/sec: 101,503 | mfu: 35.84 | total time: 3.45m
step 00051/21400 (0.24%) | loss: 5.977537 | grad norm: 0.7163 | lrm: 1.00 | dt: 5177.05ms | tok/sec: 101,271 | mfu: 35.75 | total time: 3.54m
step 00052/21400 (0.24%) | loss: 5.954136 | grad norm: 0.5960 | lrm: 1.00 | dt: 5214.36ms | tok/sec: 100,546 | mfu: 35.50 | total time: 3.62m
step 00053/21400 (0.25%) | loss: 5.938764 | grad norm: 0.6241 | lrm: 1.00 | dt: 5200.76ms | tok/sec: 100,809 | mfu: 35.59 | total time: 3.71m
step 00054/21400 (0.25%) | loss: 5.914229 | grad norm: 0.7265 | lrm: 1.00 | dt: 5160.40ms | tok/sec: 101,598 | mfu: 35.87 | total time: 3.80m
step 00055/21400 (0.26%) | loss: 5.898257 | grad norm: 0.7956 | lrm: 1.00 | dt: 5158.85ms | tok/sec: 101,628 | mfu: 35.88 | total time: 3.88m
step 00056/21400 (0.26%) | loss: 5.884666 | grad norm: 0.7823 | lrm: 1.00 | dt: 5166.84ms | tok/sec: 101,471 | mfu: 35.83 | total time: 3.97m
step 00057/21400 (0.27%) | loss: 5.872015 | grad norm: 0.6979 | lrm: 1.00 | dt: 5172.49ms | tok/sec: 101,360 | mfu: 35.79 | total time: 4.05m
step 00058/21400 (0.27%) | loss: 5.880415 | grad norm: 0.7411 | lrm: 1.00 | dt: 5156.95ms | tok/sec: 101,666 | mfu: 35.89 | total time: 4.14m
step 00059/21400 (0.28%) | loss: 5.860990 | grad norm: 0.7049 | lrm: 1.00 | dt: 5161.99ms | tok/sec: 101,566 | mfu: 35.86 | total time: 4.23m
step 00060/21400 (0.28%) | loss: 5.835416 | grad norm: 0.6922 | lrm: 1.00 | dt: 5199.10ms | tok/sec: 100,842 | mfu: 35.60 | total time: 4.31m
step 00061/21400 (0.29%) | loss: 5.814541 | grad norm: 0.7734 | lrm: 1.00 | dt: 5198.64ms | tok/sec: 100,851 | mfu: 35.61 | total time: 4.40m
step 00062/21400 (0.29%) | loss: 5.799078 | grad norm: 0.8396 | lrm: 1.00 | dt: 5160.34ms | tok/sec: 101,599 | mfu: 35.87 | total time: 4.49m
step 00063/21400 (0.29%) | loss: 5.781928 | grad norm: 0.8692 | lrm: 1.00 | dt: 5169.05ms | tok/sec: 101,428 | mfu: 35.81 | total time: 4.57m
step 00064/21400 (0.30%) | loss: 5.755676 | grad norm: 0.8014 | lrm: 1.00 | dt: 5168.17ms | tok/sec: 101,445 | mfu: 35.82 | total time: 4.66m
step 00065/21400 (0.30%) | loss: 5.738507 | grad norm: 0.7760 | lrm: 1.00 | dt: 5163.78ms | tok/sec: 101,531 | mfu: 35.85 | total time: 4.74m
step 00066/21400 (0.31%) | loss: 5.718446 | grad norm: 0.9272 | lrm: 1.00 | dt: 5163.60ms | tok/sec: 101,535 | mfu: 35.85 | total time: 4.83m
step 00067/21400 (0.31%) | loss: 5.707489 | grad norm: 0.8138 | lrm: 1.00 | dt: 5168.83ms | tok/sec: 101,432 | mfu: 35.81 | total time: 4.92m
step 00068/21400 (0.32%) | loss: 5.696765 | grad norm: 0.6536 | lrm: 1.00 | dt: 5198.89ms | tok/sec: 100,846 | mfu: 35.60 | total time: 5.00m
step 00069/21400 (0.32%) | loss: 5.674299 | grad norm: 0.6475 | lrm: 1.00 | dt: 5206.37ms | tok/sec: 100,701 | mfu: 35.55 | total time: 5.09m
step 00070/21400 (0.33%) | loss: 5.663953 | grad norm: 0.6658 | lrm: 1.00 | dt: 5155.81ms | tok/sec: 101,688 | mfu: 35.90 | total time: 5.18m
step 00071/21400 (0.33%) | loss: 5.659707 | grad norm: 0.6114 | lrm: 1.00 | dt: 5162.27ms | tok/sec: 101,561 | mfu: 35.86 | total time: 5.26m
step 00072/21400 (0.34%) | loss: 5.637945 | grad norm: 0.7118 | lrm: 1.00 | dt: 5160.80ms | tok/sec: 101,590 | mfu: 35.87 | total time: 5.35m
step 00073/21400 (0.34%) | loss: 5.610241 | grad norm: 0.7009 | lrm: 1.00 | dt: 5157.77ms | tok/sec: 101,650 | mfu: 35.89 | total time: 5.43m
step 00074/21400 (0.35%) | loss: 5.579360 | grad norm: 0.6637 | lrm: 1.00 | dt: 5162.28ms | tok/sec: 101,561 | mfu: 35.86 | total time: 5.52m
step 00075/21400 (0.35%) | loss: 5.560104 | grad norm: 0.7856 | lrm: 1.00 | dt: 5158.86ms | tok/sec: 101,628 | mfu: 35.88 | total time: 5.61m
step 00076/21400 (0.36%) | loss: 5.530546 | grad norm: 0.7756 | lrm: 1.00 | dt: 5202.35ms | tok/sec: 100,778 | mfu: 35.58 | total time: 5.69m
step 00077/21400 (0.36%) | loss: 5.513909 | grad norm: 0.6422 | lrm: 1.00 | dt: 5191.80ms | tok/sec: 100,983 | mfu: 35.65 | total time: 5.78m
step 00078/21400 (0.36%) | loss: 5.499018 | grad norm: 0.7724 | lrm: 1.00 | dt: 5161.22ms | tok/sec: 101,582 | mfu: 35.86 | total time: 5.86m
step 00079/21400 (0.37%) | loss: 5.487552 | grad norm: 0.8522 | lrm: 1.00 | dt: 5162.21ms | tok/sec: 101,562 | mfu: 35.86 | total time: 5.95m
step 00080/21400 (0.37%) | loss: 5.480009 | grad norm: 0.6865 | lrm: 1.00 | dt: 5156.03ms | tok/sec: 101,684 | mfu: 35.90 | total time: 6.04m
step 00081/21400 (0.38%) | loss: 5.472428 | grad norm: 0.5741 | lrm: 1.00 | dt: 5163.92ms | tok/sec: 101,529 | mfu: 35.85 | total time: 6.12m
step 00082/21400 (0.38%) | loss: 5.460117 | grad norm: 0.6171 | lrm: 1.00 | dt: 5157.57ms | tok/sec: 101,654 | mfu: 35.89 | total time: 6.21m
step 00083/21400 (0.39%) | loss: 5.445323 | grad norm: 0.6739 | lrm: 1.00 | dt: 5158.10ms | tok/sec: 101,643 | mfu: 35.89 | total time: 6.29m
step 00084/21400 (0.39%) | loss: 5.431707 | grad norm: 0.7022 | lrm: 1.00 | dt: 5197.52ms | tok/sec: 100,872 | mfu: 35.61 | total time: 6.38m
step 00085/21400 (0.40%) | loss: 5.427021 | grad norm: 0.7734 | lrm: 1.00 | dt: 5204.94ms | tok/sec: 100,728 | mfu: 35.56 | total time: 6.47m
step 00086/21400 (0.40%) | loss: 5.408176 | grad norm: 0.7660 | lrm: 1.00 | dt: 5152.46ms | tok/sec: 101,754 | mfu: 35.93 | total time: 6.55m
step 00087/21400 (0.41%) | loss: 5.395634 | grad norm: 0.8003 | lrm: 1.00 | dt: 5161.49ms | tok/sec: 101,576 | mfu: 35.86 | total time: 6.64m
step 00088/21400 (0.41%) | loss: 5.384210 | grad norm: 0.7081 | lrm: 1.00 | dt: 5155.87ms | tok/sec: 101,687 | mfu: 35.90 | total time: 6.73m
step 00089/21400 (0.42%) | loss: 5.365139 | grad norm: 0.6399 | lrm: 1.00 | dt: 5164.56ms | tok/sec: 101,516 | mfu: 35.84 | total time: 6.81m
step 00090/21400 (0.42%) | loss: 5.347963 | grad norm: 0.6303 | lrm: 1.00 | dt: 5157.47ms | tok/sec: 101,655 | mfu: 35.89 | total time: 6.90m
step 00091/21400 (0.43%) | loss: 5.333969 | grad norm: 0.7089 | lrm: 1.00 | dt: 5162.71ms | tok/sec: 101,552 | mfu: 35.85 | total time: 6.98m
step 00092/21400 (0.43%) | loss: 5.315112 | grad norm: 0.6728 | lrm: 1.00 | dt: 5194.64ms | tok/sec: 100,928 | mfu: 35.63 | total time: 7.07m
step 00093/21400 (0.43%) | loss: 5.328178 | grad norm: 0.5971 | lrm: 1.00 | dt: 5194.95ms | tok/sec: 100,922 | mfu: 35.63 | total time: 7.16m
step 00094/21400 (0.44%) | loss: 5.339363 | grad norm: 0.6929 | lrm: 1.00 | dt: 5148.98ms | tok/sec: 101,823 | mfu: 35.95 | total time: 7.24m
step 00095/21400 (0.44%) | loss: 5.312660 | grad norm: 0.6797 | lrm: 1.00 | dt: 5158.01ms | tok/sec: 101,645 | mfu: 35.89 | total time: 7.33m
step 00096/21400 (0.45%) | loss: 5.286595 | grad norm: 0.6846 | lrm: 1.00 | dt: 5156.44ms | tok/sec: 101,676 | mfu: 35.90 | total time: 7.41m
step 00097/21400 (0.45%) | loss: 5.263725 | grad norm: 0.5258 | lrm: 1.00 | dt: 5160.66ms | tok/sec: 101,593 | mfu: 35.87 | total time: 7.50m
step 00098/21400 (0.46%) | loss: 5.255461 | grad norm: 0.5307 | lrm: 1.00 | dt: 5157.52ms | tok/sec: 101,655 | mfu: 35.89 | total time: 7.59m
step 00099/21400 (0.46%) | loss: 5.242239 | grad norm: 0.5222 | lrm: 1.00 | dt: 5162.42ms | tok/sec: 101,558 | mfu: 35.86 | total time: 7.67m
step 00100/21400 (0.47%) | loss: 5.237850 | grad norm: 0.5477 | lrm: 1.00 | dt: 5179.20ms | tok/sec: 101,229 | mfu: 35.74 | total time: 7.76m
step 00101/21400 (0.47%) | loss: 5.212333 | grad norm: 0.5981 | lrm: 1.00 | dt: 5189.23ms | tok/sec: 101,033 | mfu: 35.67 | total time: 7.85m
step 00102/21400 (0.48%) | loss: 5.199262 | grad norm: 0.6519 | lrm: 1.00 | dt: 5138.92ms | tok/sec: 102,022 | mfu: 36.02 | total time: 7.93m
step 00103/21400 (0.48%) | loss: 5.187691 | grad norm: 0.6943 | lrm: 1.00 | dt: 5162.97ms | tok/sec: 101,547 | mfu: 35.85 | total time: 8.02m
step 00104/21400 (0.49%) | loss: 5.183702 | grad norm: 0.5956 | lrm: 1.00 | dt: 5162.37ms | tok/sec: 101,559 | mfu: 35.86 | total time: 8.10m
step 00105/21400 (0.49%) | loss: 5.175090 | grad norm: 0.5480 | lrm: 1.00 | dt: 5162.74ms | tok/sec: 101,552 | mfu: 35.85 | total time: 8.19m
step 00106/21400 (0.50%) | loss: 5.159103 | grad norm: 0.7439 | lrm: 1.00 | dt: 5147.46ms | tok/sec: 101,853 | mfu: 35.96 | total time: 8.28m
step 00107/21400 (0.50%) | loss: 5.135892 | grad norm: 0.7572 | lrm: 1.00 | dt: 5156.77ms | tok/sec: 101,669 | mfu: 35.90 | total time: 8.36m
step 00108/21400 (0.50%) | loss: 5.107370 | grad norm: 0.7167 | lrm: 1.00 | dt: 5168.21ms | tok/sec: 101,444 | mfu: 35.82 | total time: 8.45m
step 00109/21400 (0.51%) | loss: 5.092968 | grad norm: 0.6893 | lrm: 1.00 | dt: 5195.02ms | tok/sec: 100,921 | mfu: 35.63 | total time: 8.53m
step 00110/21400 (0.51%) | loss: 5.057357 | grad norm: 0.6100 | lrm: 1.00 | dt: 5137.36ms | tok/sec: 102,054 | mfu: 36.03 | total time: 8.62m
step 00111/21400 (0.52%) | loss: 5.044367 | grad norm: 0.5620 | lrm: 1.00 | dt: 5164.74ms | tok/sec: 101,512 | mfu: 35.84 | total time: 8.71m
step 00112/21400 (0.52%) | loss: 5.026747 | grad norm: 0.5021 | lrm: 1.00 | dt: 5153.93ms | tok/sec: 101,725 | mfu: 35.92 | total time: 8.79m
step 00113/21400 (0.53%) | loss: 5.016459 | grad norm: 0.5416 | lrm: 1.00 | dt: 5151.61ms | tok/sec: 101,771 | mfu: 35.93 | total time: 8.88m
step 00114/21400 (0.53%) | loss: 5.019207 | grad norm: 0.6543 | lrm: 1.00 | dt: 5157.03ms | tok/sec: 101,664 | mfu: 35.89 | total time: 8.96m
step 00115/21400 (0.54%) | loss: 4.998973 | grad norm: 0.6497 | lrm: 1.00 | dt: 5155.47ms | tok/sec: 101,695 | mfu: 35.90 | total time: 9.05m
step 00116/21400 (0.54%) | loss: 4.987106 | grad norm: 0.5797 | lrm: 1.00 | dt: 5153.21ms | tok/sec: 101,740 | mfu: 35.92 | total time: 9.14m
step 00117/21400 (0.55%) | loss: 4.974842 | grad norm: 0.5987 | lrm: 1.00 | dt: 5196.25ms | tok/sec: 100,897 | mfu: 35.62 | total time: 9.22m
step 00118/21400 (0.55%) | loss: 4.973520 | grad norm: 0.6932 | lrm: 1.00 | dt: 5134.89ms | tok/sec: 102,103 | mfu: 36.05 | total time: 9.31m
step 00119/21400 (0.56%) | loss: 4.960844 | grad norm: 0.5871 | lrm: 1.00 | dt: 5146.06ms | tok/sec: 101,881 | mfu: 35.97 | total time: 9.39m
step 00120/21400 (0.56%) | loss: 4.950636 | grad norm: 0.5788 | lrm: 1.00 | dt: 5149.79ms | tok/sec: 101,807 | mfu: 35.94 | total time: 9.48m
step 00121/21400 (0.57%) | loss: 4.941643 | grad norm: 0.6512 | lrm: 1.00 | dt: 5165.16ms | tok/sec: 101,504 | mfu: 35.84 | total time: 9.56m
step 00122/21400 (0.57%) | loss: 4.935497 | grad norm: 0.5902 | lrm: 1.00 | dt: 5141.32ms | tok/sec: 101,975 | mfu: 36.00 | total time: 9.65m
step 00123/21400 (0.57%) | loss: 4.933799 | grad norm: 0.5327 | lrm: 1.00 | dt: 5156.60ms | tok/sec: 101,673 | mfu: 35.90 | total time: 9.74m
step 00124/21400 (0.58%) | loss: 4.912686 | grad norm: 0.4537 | lrm: 1.00 | dt: 5139.55ms | tok/sec: 102,010 | mfu: 36.02 | total time: 9.82m
step 00125/21400 (0.58%) | loss: 4.911231 | grad norm: 0.5453 | lrm: 1.00 | dt: 5184.74ms | tok/sec: 101,121 | mfu: 35.70 | total time: 9.91m
step 00126/21400 (0.59%) | loss: 4.896540 | grad norm: 0.5780 | lrm: 1.00 | dt: 5175.05ms | tok/sec: 101,310 | mfu: 35.77 | total time: 9.99m
step 00127/21400 (0.59%) | loss: 4.877987 | grad norm: 0.6242 | lrm: 1.00 | dt: 5141.55ms | tok/sec: 101,970 | mfu: 36.00 | total time: 10.08m
step 00128/21400 (0.60%) | loss: 4.870917 | grad norm: 0.6220 | lrm: 1.00 | dt: 5142.05ms | tok/sec: 101,960 | mfu: 36.00 | total time: 10.17m
step 00129/21400 (0.60%) | loss: 4.862715 | grad norm: 0.5991 | lrm: 1.00 | dt: 5151.26ms | tok/sec: 101,778 | mfu: 35.93 | total time: 10.25m
step 00130/21400 (0.61%) | loss: 4.850740 | grad norm: 0.6808 | lrm: 1.00 | dt: 5146.49ms | tok/sec: 101,872 | mfu: 35.97 | total time: 10.34m
step 00131/21400 (0.61%) | loss: 4.838412 | grad norm: 0.6545 | lrm: 1.00 | dt: 5141.26ms | tok/sec: 101,976 | mfu: 36.00 | total time: 10.42m
step 00132/21400 (0.62%) | loss: 4.816128 | grad norm: 0.5448 | lrm: 1.00 | dt: 5140.41ms | tok/sec: 101,993 | mfu: 36.01 | total time: 10.51m
step 00133/21400 (0.62%) | loss: 4.821185 | grad norm: 0.5023 | lrm: 1.00 | dt: 5181.96ms | tok/sec: 101,175 | mfu: 35.72 | total time: 10.60m
step 00134/21400 (0.63%) | loss: 4.808593 | grad norm: 0.5312 | lrm: 1.00 | dt: 5174.65ms | tok/sec: 101,318 | mfu: 35.77 | total time: 10.68m
step 00135/21400 (0.63%) | loss: 4.809456 | grad norm: 0.5478 | lrm: 1.00 | dt: 5134.92ms | tok/sec: 102,102 | mfu: 36.05 | total time: 10.77m
step 00136/21400 (0.64%) | loss: 4.806163 | grad norm: 0.5750 | lrm: 1.00 | dt: 5144.81ms | tok/sec: 101,906 | mfu: 35.98 | total time: 10.85m
step 00137/21400 (0.64%) | loss: 4.779050 | grad norm: 0.5577 | lrm: 1.00 | dt: 5136.07ms | tok/sec: 102,079 | mfu: 36.04 | total time: 10.94m
step 00138/21400 (0.64%) | loss: 4.784220 | grad norm: 0.6161 | lrm: 1.00 | dt: 5141.54ms | tok/sec: 101,970 | mfu: 36.00 | total time: 11.02m
step 00139/21400 (0.65%) | loss: 4.779924 | grad norm: 0.5153 | lrm: 1.00 | dt: 5141.99ms | tok/sec: 101,962 | mfu: 36.00 | total time: 11.11m
step 00140/21400 (0.65%) | loss: 4.769680 | grad norm: 0.4500 | lrm: 1.00 | dt: 5138.42ms | tok/sec: 102,032 | mfu: 36.02 | total time: 11.20m
step 00141/21400 (0.66%) | loss: 4.775149 | grad norm: 0.4771 | lrm: 1.00 | dt: 5185.46ms | tok/sec: 101,107 | mfu: 35.70 | total time: 11.28m
step 00142/21400 (0.66%) | loss: 4.770958 | grad norm: 0.5589 | lrm: 1.00 | dt: 5170.53ms | tok/sec: 101,399 | mfu: 35.80 | total time: 11.37m
step 00143/21400 (0.67%) | loss: 4.760085 | grad norm: 0.5389 | lrm: 1.00 | dt: 5136.34ms | tok/sec: 102,074 | mfu: 36.04 | total time: 11.45m
step 00144/21400 (0.67%) | loss: 4.747637 | grad norm: 0.5305 | lrm: 1.00 | dt: 5145.15ms | tok/sec: 101,899 | mfu: 35.98 | total time: 11.54m
step 00145/21400 (0.68%) | loss: 4.716672 | grad norm: 0.5108 | lrm: 1.00 | dt: 5143.61ms | tok/sec: 101,929 | mfu: 35.99 | total time: 11.63m
